Timestamp_ms,Raw_Accel_X,Raw_Accel_Y,Raw_Accel_Z,Unbiased_Filt_Accel_X,Unbiased_Filt_Accel_Y,Raw_Omega_Z_degs,Unbiased_Omega_Z_rads,IMU_Roll_deg,IMU_Pitch_deg,IMU_Yaw_deg,GPS_Lat,GPS_Lon,GPS_GroundSpeed_kmh,GPS_Satellites,GPS_HDOP,GPS_Local_X_m,GPS_Local_Y_m,EKF_ap_X_m,EKF_ap_Y_m,EKF_av_X_mps,EKF_av_Y_mps,EKF_q_W,EKF_q_X,EKF_q_Y,EKF_q_Z,EKF_ba_X_mps2,EKF_ba_Y_mps2,EKF_bg_Z_rads,EKF_Yaw_deg,P_ap_X,P_ap_Y,P_av_X,P_av_Y,P_q_W,P_ba_X,P_ba_Y,P_bg_Z,R_delta_pos_X,R_delta_pos_Y,Q_av,Q_q,Q_ba,Q_bg,ZUPT_Actived,EKF_Status,Delta_T_s
9576,0.0574,0.0383,9.7856,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,21.0655,1.0856,0.5117,0.0117,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
9781,-0.0813,-0.0526,9.7521,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,21.9034,1.0954,0.5121,0.0121,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
9986,0.1005,0.0861,9.8335,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,22.7732,1.106,0.5126,0.0126,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
10191,0.0718,0.067,9.8335,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,23.6742,1.1174,0.513,0.013,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
10396,-0.0479,-0.0861,9.7569,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,24.6056,1.1296,0.5135,0.0135,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
10600,0.0335,0.0574,9.8096,0.0,0.0,0.0,-0.0,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,25.5675,1.1425,0.5139,0.0139,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
10806,-0.0191,-0.0335,9.7809,0.0,0.0,0.0,-0.0005,0.0,0.0,-9.43,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,26.5626,1.1563,0.5143,0.0143,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
11011,-0.0383,-0.0766,9.7665,0.0,0.0,0.0,-0.0004,0.0,0.0,-9.44,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,27.59,1.171,0.5148,0.0148,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
11216,-0.0335,0.0096,9.733,0.0,0.0,0.0,0.0,0.0,0.0,-9.44,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,28.6488,1.1866,0.5152,0.0152,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
11421,0.0383,0.1005,9.8144,0.0,0.0,0.0,0.0,0.0,0.0,-9.44,0.0,0.0,0.0,0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,29.7361,1.2031,0.5156,0.0156,0.0,0.0,0.0,0.0,100.0,100.0,1.8e-05,0.0,0.0,0.0,0,4,0.007
